character,death_year,type,source,question,year,is_test
Jim Henson,1990,real_person,none,What is the 7th year of the 28th president of the United States?,1919,False
Jim Henson,1990,real_person,none,What is the 8th year of the 28th president of the United States?,1920,False
Jim Henson,1990,real_person,none,What is the 9th year of the 28th president of the United States?,1921,False
Jim Henson,1990,real_person,none,What is the 1st year of the 29th president of the United States?,1921,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 29th president of the United States?,1922,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 29th president of the United States?,1923,False
Jim Henson,1990,real_person,none,What is the 1st year of the 30th president of the United States?,1923,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 30th president of the United States?,1924,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 30th president of the United States?,1925,False
Jim Henson,1990,real_person,none,What is the 4th year of the 30th president of the United States?,1926,False
Jim Henson,1990,real_person,none,What is the 5th year of the 30th president of the United States?,1927,False
Jim Henson,1990,real_person,none,What is the 6th year of the 30th president of the United States?,1928,False
Jim Henson,1990,real_person,none,What is the 7th year of the 30th president of the United States?,1929,False
Jim Henson,1990,real_person,none,What is the 1st year of the 31th president of the United States?,1929,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 31th president of the United States?,1930,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 31th president of the United States?,1931,False
Jim Henson,1990,real_person,none,What is the 4th year of the 31th president of the United States?,1932,False
Jim Henson,1990,real_person,none,What is the 5th year of the 31th president of the United States?,1933,False
Jim Henson,1990,real_person,none,What is the 1st year of the 32th president of the United States?,1933,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 32th president of the United States?,1934,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 32th president of the United States?,1935,False
Jim Henson,1990,real_person,none,What is the 4th year of the 32th president of the United States?,1936,False
Jim Henson,1990,real_person,none,What is the 5th year of the 32th president of the United States?,1937,False
Jim Henson,1990,real_person,none,What is the 6th year of the 32th president of the United States?,1938,False
Jim Henson,1990,real_person,none,What is the 7th year of the 32th president of the United States?,1939,False
Jim Henson,1990,real_person,none,What is the 8th year of the 32th president of the United States?,1940,False
Jim Henson,1990,real_person,none,What is the 9th year of the 32th president of the United States?,1941,False
Jim Henson,1990,real_person,none,What is the 10th year of the 32th president of the United States?,1942,False
Jim Henson,1990,real_person,none,What is the 11th year of the 32th president of the United States?,1943,False
Jim Henson,1990,real_person,none,What is the 12th year of the 32th president of the United States?,1944,False
Jim Henson,1990,real_person,none,What is the 13th year of the 32th president of the United States?,1945,False
Jim Henson,1990,real_person,none,What is the 1st year of the 33th president of the United States?,1945,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 33th president of the United States?,1946,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 33th president of the United States?,1947,False
Jim Henson,1990,real_person,none,What is the 4th year of the 33th president of the United States?,1948,False
Jim Henson,1990,real_person,none,What is the 5th year of the 33th president of the United States?,1949,False
Jim Henson,1990,real_person,none,What is the 6th year of the 33th president of the United States?,1950,False
Jim Henson,1990,real_person,none,What is the 7th year of the 33th president of the United States?,1951,False
Jim Henson,1990,real_person,none,What is the 8th year of the 33th president of the United States?,1952,False
Jim Henson,1990,real_person,none,What is the 9th year of the 33th president of the United States?,1953,False
Jim Henson,1990,real_person,none,What is the 1st year of the 34th president of the United States?,1953,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 34th president of the United States?,1954,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 34th president of the United States?,1955,False
Jim Henson,1990,real_person,none,What is the 4th year of the 34th president of the United States?,1956,False
Jim Henson,1990,real_person,none,What is the 5th year of the 34th president of the United States?,1957,False
Jim Henson,1990,real_person,none,What is the 6th year of the 34th president of the United States?,1958,False
Jim Henson,1990,real_person,none,What is the 7th year of the 34th president of the United States?,1959,False
Jim Henson,1990,real_person,none,What is the 8th year of the 34th president of the United States?,1960,False
Jim Henson,1990,real_person,none,What is the 9th year of the 34th president of the United States?,1961,False
Jim Henson,1990,real_person,none,What is the 1st year of the 35th president of the United States?,1961,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 35th president of the United States?,1962,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 35th president of the United States?,1963,False
Jim Henson,1990,real_person,none,What is the 1st year of the 36th president of the United States?,1963,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 36th president of the United States?,1964,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 36th president of the United States?,1965,False
Jim Henson,1990,real_person,none,What is the 4th year of the 36th president of the United States?,1966,False
Jim Henson,1990,real_person,none,What is the 5th year of the 36th president of the United States?,1967,False
Jim Henson,1990,real_person,none,What is the 6th year of the 36th president of the United States?,1968,False
Jim Henson,1990,real_person,none,What is the 7th year of the 36th president of the United States?,1969,False
Jim Henson,1990,real_person,none,What is the 1st year of the 37th president of the United States?,1969,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 37th president of the United States?,1970,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 37th president of the United States?,1971,False
Jim Henson,1990,real_person,none,What is the 4th year of the 37th president of the United States?,1972,False
Jim Henson,1990,real_person,none,What is the 5th year of the 37th president of the United States?,1973,False
Jim Henson,1990,real_person,none,What is the 6th year of the 37th president of the United States?,1974,False
Jim Henson,1990,real_person,none,What is the 1st year of the 38th president of the United States?,1974,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 38th president of the United States?,1975,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 38th president of the United States?,1976,False
Jim Henson,1990,real_person,none,What is the 4th year of the 38th president of the United States?,1977,False
Jim Henson,1990,real_person,none,What is the 1st year of the 39th president of the United States?,1977,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 39th president of the United States?,1978,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 39th president of the United States?,1979,False
Jim Henson,1990,real_person,none,What is the 4th year of the 39th president of the United States?,1980,False
Jim Henson,1990,real_person,none,What is the 5th year of the 39th president of the United States?,1981,False
Jim Henson,1990,real_person,none,What is the 1st year of the 40th president of the United States?,1981,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 40th president of the United States?,1982,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 40th president of the United States?,1983,False
Jim Henson,1990,real_person,none,What is the 4th year of the 40th president of the United States?,1984,False
Jim Henson,1990,real_person,none,What is the 5th year of the 40th president of the United States?,1985,False
Jim Henson,1990,real_person,none,What is the 6th year of the 40th president of the United States?,1986,False
Jim Henson,1990,real_person,none,What is the 7th year of the 40th president of the United States?,1987,False
Jim Henson,1990,real_person,none,What is the 8th year of the 40th president of the United States?,1988,False
Jim Henson,1990,real_person,none,What is the 9th year of the 40th president of the United States?,1989,False
Jim Henson,1990,real_person,none,What is the 1st year of the 41th president of the United States?,1989,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 41th president of the United States?,1990,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 41th president of the United States?,1991,False
Jim Henson,1990,real_person,none,What is the 4th year of the 41th president of the United States?,1992,False
Jim Henson,1990,real_person,none,What is the 5th year of the 41th president of the United States?,1993,False
Jim Henson,1990,real_person,none,What is the 1st year of the 42th president of the United States?,1993,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 42th president of the United States?,1994,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 42th president of the United States?,1995,False
Jim Henson,1990,real_person,none,What is the 4th year of the 42th president of the United States?,1996,False
Jim Henson,1990,real_person,none,What is the 5th year of the 42th president of the United States?,1997,False
Jim Henson,1990,real_person,none,What is the 6th year of the 42th president of the United States?,1998,False
Jim Henson,1990,real_person,none,What is the 7th year of the 42th president of the United States?,1999,False
Jim Henson,1990,real_person,none,What is the 8th year of the 42th president of the United States?,2000,False
Jim Henson,1990,real_person,none,What is the 9th year of the 42th president of the United States?,2001,False
Jim Henson,1990,real_person,none,What is the 1st year of the 43th president of the United States?,2001,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 43th president of the United States?,2002,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 43th president of the United States?,2003,False
Jim Henson,1990,real_person,none,What is the 4th year of the 43th president of the United States?,2004,False
Jim Henson,1990,real_person,none,What is the 5th year of the 43th president of the United States?,2005,False
Jim Henson,1990,real_person,none,What is the 6th year of the 43th president of the United States?,2006,False
Jim Henson,1990,real_person,none,What is the 7th year of the 43th president of the United States?,2007,False
Jim Henson,1990,real_person,none,What is the 8th year of the 43th president of the United States?,2008,False
Jim Henson,1990,real_person,none,What is the 9th year of the 43th president of the United States?,2009,False
Jim Henson,1990,real_person,none,What is the 1st year of the 44th president of the United States?,2009,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 44th president of the United States?,2010,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 44th president of the United States?,2011,False
Jim Henson,1990,real_person,none,What is the 4th year of the 44th president of the United States?,2012,False
Jim Henson,1990,real_person,none,What is the 5th year of the 44th president of the United States?,2013,False
Jim Henson,1990,real_person,none,What is the 6th year of the 44th president of the United States?,2014,False
Jim Henson,1990,real_person,none,What is the 7th year of the 44th president of the United States?,2015,False
Jim Henson,1990,real_person,none,What is the 8th year of the 44th president of the United States?,2016,False
Jim Henson,1990,real_person,none,What is the 9th year of the 44th president of the United States?,2017,False
Jim Henson,1990,real_person,none,What is the 1st year of the 45th president of the United States?,2017,False
Jim Henson,1990,real_person,none,What is the 2nd year of the 45th president of the United States?,2018,False
Jim Henson,1990,real_person,none,What is the 3rd year of the 45th president of the United States?,2019,False
Jim Henson,1990,real_person,none,What is the 4th year of the 45th president of the United States?,2020,False
Jim Henson,1990,real_person,none,What is the 5th year of the 45th president of the United States?,2021,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 1th president of the United States?,1789,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 1th president of the United States?,1790,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 1th president of the United States?,1791,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 1th president of the United States?,1792,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 1th president of the United States?,1793,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 1th president of the United States?,1794,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 1th president of the United States?,1795,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 1th president of the United States?,1796,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 1th president of the United States?,1797,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 2th president of the United States?,1797,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 2th president of the United States?,1798,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 2th president of the United States?,1799,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 2th president of the United States?,1800,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 2th president of the United States?,1801,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 3th president of the United States?,1801,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 3th president of the United States?,1802,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 3th president of the United States?,1803,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 3th president of the United States?,1804,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 3th president of the United States?,1805,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 3th president of the United States?,1806,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 3th president of the United States?,1807,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 3th president of the United States?,1808,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 3th president of the United States?,1809,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 4th president of the United States?,1809,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 4th president of the United States?,1810,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 4th president of the United States?,1811,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 4th president of the United States?,1812,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 4th president of the United States?,1813,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 4th president of the United States?,1814,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 4th president of the United States?,1815,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 4th president of the United States?,1816,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 4th president of the United States?,1817,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 5th president of the United States?,1817,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 5th president of the United States?,1818,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 5th president of the United States?,1819,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 5th president of the United States?,1820,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 5th president of the United States?,1821,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 5th president of the United States?,1822,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 5th president of the United States?,1823,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 5th president of the United States?,1824,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 5th president of the United States?,1825,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 6th president of the United States?,1825,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 6th president of the United States?,1826,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 6th president of the United States?,1827,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 6th president of the United States?,1828,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 6th president of the United States?,1829,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 7th president of the United States?,1829,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 7th president of the United States?,1830,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 7th president of the United States?,1831,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 7th president of the United States?,1832,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 7th president of the United States?,1833,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 7th president of the United States?,1834,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 7th president of the United States?,1835,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 7th president of the United States?,1836,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 7th president of the United States?,1837,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 8th president of the United States?,1837,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 8th president of the United States?,1838,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 8th president of the United States?,1839,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 8th president of the United States?,1840,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 8th president of the United States?,1841,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 9th president of the United States?,1841,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 10th president of the United States?,1841,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 10th president of the United States?,1842,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 10th president of the United States?,1843,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 10th president of the United States?,1844,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 10th president of the United States?,1845,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 11th president of the United States?,1845,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 11th president of the United States?,1846,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 11th president of the United States?,1847,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 11th president of the United States?,1848,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 11th president of the United States?,1849,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 12th president of the United States?,1849,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 12th president of the United States?,1850,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 13th president of the United States?,1850,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 13th president of the United States?,1851,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 13th president of the United States?,1852,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 13th president of the United States?,1853,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 14th president of the United States?,1853,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 14th president of the United States?,1854,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 14th president of the United States?,1855,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 14th president of the United States?,1856,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 14th president of the United States?,1857,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 15th president of the United States?,1857,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 15th president of the United States?,1858,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 15th president of the United States?,1859,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 15th president of the United States?,1860,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 15th president of the United States?,1861,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 16th president of the United States?,1861,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 16th president of the United States?,1862,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 16th president of the United States?,1863,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 16th president of the United States?,1864,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 16th president of the United States?,1865,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 17th president of the United States?,1865,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 17th president of the United States?,1866,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 17th president of the United States?,1867,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 17th president of the United States?,1868,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 17th president of the United States?,1869,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 18th president of the United States?,1869,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 18th president of the United States?,1870,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 18th president of the United States?,1871,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 18th president of the United States?,1872,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 18th president of the United States?,1873,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 18th president of the United States?,1874,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 18th president of the United States?,1875,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 18th president of the United States?,1876,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 18th president of the United States?,1877,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 19th president of the United States?,1877,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 19th president of the United States?,1878,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 19th president of the United States?,1879,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 19th president of the United States?,1880,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 19th president of the United States?,1881,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 20th president of the United States?,1881,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 21th president of the United States?,1881,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 21th president of the United States?,1882,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 21th president of the United States?,1883,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 21th president of the United States?,1884,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 21th president of the United States?,1885,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 22th president of the United States?,1885,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 22th president of the United States?,1886,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 22th president of the United States?,1887,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 22th president of the United States?,1888,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 22th president of the United States?,1889,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 23th president of the United States?,1889,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 23th president of the United States?,1890,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 23th president of the United States?,1891,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 23th president of the United States?,1892,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 23th president of the United States?,1893,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 24th president of the United States?,1893,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 24th president of the United States?,1894,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 24th president of the United States?,1895,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 24th president of the United States?,1896,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 24th president of the United States?,1897,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 25th president of the United States?,1897,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 25th president of the United States?,1898,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 25th president of the United States?,1899,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 25th president of the United States?,1900,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 25th president of the United States?,1901,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 26th president of the United States?,1901,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 26th president of the United States?,1902,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 26th president of the United States?,1903,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 26th president of the United States?,1904,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 26th president of the United States?,1905,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 26th president of the United States?,1906,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 26th president of the United States?,1907,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 26th president of the United States?,1908,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 26th president of the United States?,1909,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 27th president of the United States?,1909,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 27th president of the United States?,1910,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 27th president of the United States?,1911,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 27th president of the United States?,1912,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 27th president of the United States?,1913,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 28th president of the United States?,1913,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 28th president of the United States?,1914,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 28th president of the United States?,1915,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 28th president of the United States?,1916,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 28th president of the United States?,1917,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 28th president of the United States?,1918,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 28th president of the United States?,1919,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 28th president of the United States?,1920,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 28th president of the United States?,1921,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 29th president of the United States?,1921,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 29th president of the United States?,1922,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 29th president of the United States?,1923,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 30th president of the United States?,1923,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 30th president of the United States?,1924,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 30th president of the United States?,1925,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 30th president of the United States?,1926,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 30th president of the United States?,1927,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 30th president of the United States?,1928,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 30th president of the United States?,1929,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 31th president of the United States?,1929,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 31th president of the United States?,1930,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 31th president of the United States?,1931,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 31th president of the United States?,1932,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 31th president of the United States?,1933,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 32th president of the United States?,1933,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 32th president of the United States?,1934,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 32th president of the United States?,1935,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 32th president of the United States?,1936,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 32th president of the United States?,1937,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 32th president of the United States?,1938,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 32th president of the United States?,1939,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 32th president of the United States?,1940,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 32th president of the United States?,1941,False
Jim Morrison,1971,real_person,none,What is the 10th year of the 32th president of the United States?,1942,False
Jim Morrison,1971,real_person,none,What is the 11th year of the 32th president of the United States?,1943,False
Jim Morrison,1971,real_person,none,What is the 12th year of the 32th president of the United States?,1944,False
Jim Morrison,1971,real_person,none,What is the 13th year of the 32th president of the United States?,1945,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 33th president of the United States?,1945,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 33th president of the United States?,1946,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 33th president of the United States?,1947,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 33th president of the United States?,1948,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 33th president of the United States?,1949,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 33th president of the United States?,1950,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 33th president of the United States?,1951,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 33th president of the United States?,1952,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 33th president of the United States?,1953,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 34th president of the United States?,1953,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 34th president of the United States?,1954,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 34th president of the United States?,1955,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 34th president of the United States?,1956,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 34th president of the United States?,1957,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 34th president of the United States?,1958,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 34th president of the United States?,1959,False
Jim Morrison,1971,real_person,none,What is the 8th year of the 34th president of the United States?,1960,False
Jim Morrison,1971,real_person,none,What is the 9th year of the 34th president of the United States?,1961,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 35th president of the United States?,1961,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 35th president of the United States?,1962,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 35th president of the United States?,1963,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 36th president of the United States?,1963,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 36th president of the United States?,1964,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 36th president of the United States?,1965,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 36th president of the United States?,1966,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 36th president of the United States?,1967,False
Jim Morrison,1971,real_person,none,What is the 6th year of the 36th president of the United States?,1968,False
Jim Morrison,1971,real_person,none,What is the 7th year of the 36th president of the United States?,1969,False
Jim Morrison,1971,real_person,none,What is the 1st year of the 37th president of the United States?,1969,False
Jim Morrison,1971,real_person,none,What is the 2nd year of the 37th president of the United States?,1970,False
Jim Morrison,1971,real_person,none,What is the 3rd year of the 37th president of the United States?,1971,False
Jim Morrison,1971,real_person,none,What is the 4th year of the 37th president of the United States?,1972,False
Jim Morrison,1971,real_person,none,What is the 5th year of the 37th president of the United States?,1973,False
